醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
2343320018,屏東縣獅子鄉衛生所,屏東縣獅子鄉楓林村楓林二巷３１號,(08)8771324,1058,318,2020/02/13 15:53:37
2343330014,屏東縣牡丹鄉衛生所,屏東縣牡丹鄉石門村１９號,(08)8831013,814,256,2020/02/13 15:53:37
2344011036,澎湖縣馬公市第三衛生所,澎湖縣馬公市西文里１１８之２號,(06)9211723,148,226,2020/02/13 15:53:37
2344030013,澎湖縣白沙鄉衛生所,澎湖縣白沙鄉赤崁村３５９號,(06)9931044,18,126,2020/02/13 15:53:37
2344030022,澎湖縣白沙鄉鳥嶼衛生所,澎湖縣白沙鄉鳥嶼村漁港新村３號,(06)9916092,704,278,2020/02/13 15:53:37
2344030031,澎湖縣白沙鄉吉貝衛生所,澎湖縣白沙鄉吉貝村８－１３號,(06)9911430,694,282,2020/02/13 15:53:37
2344050015,澎湖縣望安鄉衛生所,澎湖縣望安鄉西安村３６－７號,(06)9991036,302,336,2020/02/13 15:53:37
2344050024,澎湖縣望安鄉將軍衛生所,澎湖縣望安鄉將軍村１２鄰將軍澳１之３號,(06)9902066,950,354,2020/02/13 15:53:37
2344060011,澎湖縣七美鄉衛生所,澎湖縣七美鄉中和村埔內５４號,(06)9971005,0,214,2020/02/13 15:53:37
2345100014,花蓮縣富里鄉衛生所,花蓮縣富里鄉富里村中山路２０３號,(03)8831029,0,152,2020/02/13 15:53:37
2345110010,花蓮縣秀林鄉衛生所,花蓮縣秀林鄉秀林村１２鄰秀林路８８號,(03)8612122,4,0,2020/02/13 15:53:37
2345120016,花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村１２號,(03)8751651,213,231,2020/02/13 15:53:37
2345130012,花蓮縣卓溪鄉衛生所,花蓮縣卓溪鄉卓溪村中正路６５號,(03)8882592,223,167,2020/02/13 15:53:37
2346050013,台東縣大武鄉衛生所,台東縣大武鄉大武村濱海路１００號,(089)791325,78,104,2020/02/13 15:53:37
2346070015,臺東縣東河鄉衛生所,臺東縣東河鄉東河村南東河路１０鄰３００號,(089)896289,59,182,2020/02/13 15:53:37
2346110014,台東縣綠島鄉衛生所,台東縣綠島鄉中寮村１－１號,(089)672511,80,195,2020/02/13 15:53:37
2346120010,台東縣延平鄉衛生所,台東縣延平鄉桃源村昇平路１１號,(089)561040,575,226,2020/02/13 15:53:37
2346130016,台東縣海端鄉衛生所,台東縣海端鄉海端村３鄰２９號,(089)931391,0,102,2020/02/13 15:53:37
2346140012,台東縣達仁鄉衛生所,台東縣達仁鄉安朔村復興路１２２號,(089)702209,924,318,2020/02/13 15:53:37
2346150018,台東縣金峰鄉衛生所,台東縣金峰鄉賓茂村１鄰１４號,(089)772201,813,240,2020/02/13 15:53:37
2346160014,台東縣蘭嶼鄉衛生所,台東縣蘭嶼鄉紅頭村３６號,(089)732575,1018,334,2020/02/13 15:53:37
2390040518,金門縣金寧鄉衛生所,金門縣金寧鄉盤山村仁愛新屯２之１號,(082)325735,0,38,2020/02/13 15:53:37
2390050032,金門縣烈嶼鄉衛生所,金門縣烈嶼鄉西口村西方６－５號,(082)362078,0,80,2020/02/13 15:53:37
2391020010,連江縣北竿鄉衛生所,連江縣北竿鄉塘岐村２５號,(083)655592,284,182,2020/02/13 15:53:37
2391030016,連江縣莒光鄉西莒衛生所,連江縣莒光鄉青帆村１４－１號,(083)689122,1421,404,2020/02/13 15:53:37
2391030026,連江縣莒光鄉東莒衛生所,連江縣莒光鄉大坪村３０－１號,(083)689038,1235,370,2020/02/13 15:53:37
2391040012,連江縣東引鄉衛生所,連江縣東引鄉中柳村１２３號,(083)677206,934,352,2020/02/13 15:53:37
5901010058,安郁藥局,台北市松山區八德路３段１２巷５１弄１６號１樓,(02)25774551,0,116,2020/02/13 15:53:37
5901010076,榮星藥局,台北市松山區南京東路４段１３３巷５弄１號,(02)27124696,1,1,2020/02/13 15:53:37
5901010085,安世藥局,台北市松山區南京東路４段１３３巷５弄９號,(02)27133405,0,28,2020/02/13 15:53:37
5901010094,明一藥局,台北市松山區南京東路５段５９巷２８弄２５號１樓,(02)27691654,14,86,2020/02/13 15:53:37
5901010165,傑安藥局,台北市松山區八德路２段４３７巷７弄８號１樓,(02)27524155,0,110,2020/02/13 15:53:37
5901010174,仁弘藥局,台北市松山區民生東路３段１１３巷２５弄６號１樓,(02)27136764,10,48,2020/02/13 15:53:37
5901010192,益華藥局,台北市松山區民生東路５段１３８巷６號,(02)27624898,0,50,2020/02/13 15:53:37
5901010272,德靈藥局,台北市松山區富錦街５４８號,(02)27646998,0,126,2020/02/13 15:53:37
5901010290,健全藥局,台北市松山區民權東路３段１０３巷２０號,(02)27128293,0,84,2020/02/13 15:53:37
5901010496,瑞昌大藥局,台北市松山區民權東路３段１０３巷１０號,(02)27151881,0,82,2020/02/13 15:53:37
5901010576,合生藥局,台北市松山區南京東路５段１２３巷４５號１樓,(02)27602932,0,42,2020/02/13 15:53:37
5901011662,上允藥局,台北市松山區民生東路５段７８號,(02)27696905,0,200,2020/02/13 15:53:37
5901011699,建東大藥局,台北市松山區三民路９７號１樓,(02)27676237,0,110,2020/02/13 15:53:37
5901011733,和諧藥局,台北市松山區民生東路５段１４８號２樓,(02)27568580,0,164,2020/02/13 15:53:37
5901011760,延壽藥局,台北市松山區延壽街３２７號,(02)27685159,0,162,2020/02/13 15:53:37
5901011975,萬泰藥局,台北市松山區敦化北路２２２巷３８號,(02)27135891,4,28,2020/02/13 15:53:37
5901012203,博荃藥局,台北市松山區敦化北路４巷５１號,(02)27316736,6,90,2020/02/13 15:53:37
5901012383,德川中西藥局,台北市松山區八德路４段９６號,(02)27683399,0,158,2020/02/13 15:53:37
5901012409,家音藥局,台北市松山區民生東路５段７３號,(02)37652080,18,54,2020/02/13 15:53:37
5901012454,敦北藥局,台北市松山區民生東路４段８０巷５號,(02)27155691,0,140,2020/02/13 15:53:37
5901012490,中美藥局,台北市松山區富錦街５３１號,(02)27627468,0,81,2020/02/13 15:53:37
5901012507,康麗藥局,台北市松山區南京東路３段３０３巷２０號,(02)27174117,0,38,2020/02/13 15:53:37
5901012516,惠登藥局,台北市松山區民生東路３段１３０巷３４號,(02)25472432,2,81,2020/02/13 15:53:37
5901012561,松田藥局,台北市松山區延吉街９－６號,(02)25798005,0,96,2020/02/13 15:53:37
5901012570,予志藥局,台北市松山區富錦街５２１號,(02)27623522,0,39,2020/02/13 15:53:37
5901012598,婕登藥局,台北市松山區八德路４段６９９號,(02)27482893,6,27,2020/02/13 15:53:37
5901012632,晨安藥局,台北市松山區八德路３段１５５巷２０弄２號,(02)25798460,1,60,2020/02/13 15:53:37
5901012650,銘德藥局,台北市松山區八德路２段３６６巷２８號,(02)27511833,16,124,2020/02/13 15:53:37
5901012669,政昇藥局,台北市松山區南京東路５段３５６號１３樓,(02)27560286,10,224,2020/02/13 15:53:37
5901012712,立康大藥局,台北市松山區八德路四段２－１號,(02)27471749,0,2,2020/02/13 15:53:37
5901012749,躍獅松和藥局,台北市松山區八德路四段６６６－１號,(02)27492569,84,144,2020/02/13 15:53:37
5901012758,京東藥局,台北市松山區南京東路五段２７２號,(02)27679503,70,102,2020/02/13 15:53:37
5901012767,晨新藥局,台北市松山區八德路４段９１巷１－１號,(02)27422951,0,6,2020/02/13 15:53:37
5901012918,躍獅京華藥局,台北市松山區南京東路５段７１號,(02)27666508,0,12,2020/02/13 15:53:37
5901012963,綠之家藥局,台北市松山區延壽街４２８號,(02)25289595,0,6,2020/02/13 15:53:37
5901013004,德安藥局,台北市松山區八德路３段１９５號２樓,(02)25782670,0,152,2020/02/13 15:53:37
5901013095,康采藥局,台北市松山區南京東路５段２９１巷１７－２號,(02)27670271,214,277,2020/02/13 15:53:37
5901013120,誠康中西藥局,台北市松山區南京東路５段５９巷３１弄４３號,(02)27619679,8,79,2020/02/13 15:53:37
5901013139,慶昌藥局,台北市松山區延吉街２９號,(02)25770820,0,83,2020/02/13 15:53:37
5901013148,唯康藥局,台北市松山區八德路３段２１１號,(02)25775000,0,6,2020/02/13 15:53:37
5901013157,西松健康人生藥局,台北市松山區南京東路５段２９１巷７號,(02)27687807,0,34,2020/02/13 15:53:37
5901013200,專品南京藥局,台北市松山區南京東路４段７３號,(02)25147685,0,95,2020/02/13 15:53:37
5901013246,芝欣藥局,台北市松山區八德路３段１４８號,(02)25706677,0,64,2020/02/13 15:53:37
5901013264,佑翔藥局,台北市松山區民生東路５段９５號,(02)87875050,16,206,2020/02/13 15:53:37
5901013308,立赫敦北藥局,台北市松山區敦化北路２２２巷２０號,(02)27199277,62,36,2020/02/13 15:53:37
5901013326,富景藥局,台北市松山區三民路１４５號,(02)27455666,8,38,2020/02/13 15:53:37
5901013344,健康活力藥師藥局,台北市松山區民生東路５段２１９號,(02)27455556,0,120,2020/02/13 15:53:37
5901013362,啄木鳥藥局,台北市松山區八德路４段２０９號、２１１號（１、２層）,(02)27422413,0,68,2020/02/13 15:53:37
5901013371,玖田藥局,台北市松山區八德路４段６５５號,(02)27666578,4,202,2020/02/13 15:53:37
5901013380,澄馨藥局,台北市松山區三民路３７號,(02)27420159,3,106,2020/02/13 15:53:37
5901013399,一安正昇藥局,台北市松山區南京東路５段３４８號,(02)27680993,102,84,2020/02/13 15:53:37
5901013406,美優康藥局,台北市松山區民生東路４段１１７之１號,(02)27152319,0,102,2020/02/13 15:53:37
5901013433,杏一延吉藥局,臺北市松山區延吉街３２號,(02)25798450,0,38,2020/02/13 15:53:37
5901013442,松山八德藥局,臺北市松山區八德路２段４００號,(02)27782773,0,198,2020/02/13 15:53:37
5901013451,新德大藥局,臺北市松山區饒河街２０４號,(02)27673402,0,210,2020/02/13 15:53:37
5901013460,光點延新藥局,台北市松山區延壽街１０１號,(02)27667795,0,60,2020/02/13 15:53:37
5901013488,欣生藥局,臺北市松山區民生東路５段１３８巷１號,(02)27567611,134,218,2020/02/13 15:53:37
5901013497,民生盛康藥局,臺北市松山區民生東路５段２０４號,(02)27460758,32,110,2020/02/13 15:53:37
5901013504,杏一台北長庚藥局,臺北市松山區敦化北路１９９巷２弄３號,(02)25149463,0,6,2020/02/13 15:53:37
5901013513,立赫民生藥局,臺北市松山區民生東路４段６８號,(02)27139200,60,68,2020/02/13 15:53:37
5901013522,大樹松山藥局,臺北市松山區民生東路５段１０７號,(02)27562226,0,88,2020/02/13 15:53:37
5901020296,百立藥局,台北市大安區和平東路３段２２８巷６６號１樓,(02)27327211,42,199,2020/02/13 15:53:37
5901020303,宏恩藥局,台北市大安區大安路１段１８１號,(02)27000956,2,116,2020/02/13 15:53:37
5901020376,靜園藥局,台北市大安區和平東路２段１１８巷５７之１號,(02)27336390,6,123,2020/02/13 15:53:37
5901020385,延吉大藥局,台北市大安區延吉街１５３號１樓,(02)27819227,0,82,2020/02/13 15:53:37
5901020465,杏友藥局,台北市大安區復興南路２段１５１巷２５號,(02)27079451,6,88,2020/02/13 15:53:37
5901020554,師大藥局,台北市大安區師大路９９號１樓,(02)23623479,0,36,2020/02/13 15:53:37
5901020563,施寶藥局,台北市大安區安東街５０－５號１樓,(02)27114175,0,36,2020/02/13 15:53:37
5901020590,燕福藥局,台北市大安區羅斯福路３段２８３巷１４弄１４號之３,(02)23627307,0,124,2020/02/13 15:53:37
5901020616,龍護大藥局,台北市大安區大安路１段２２４巷７號１Ｆ,(02)23250686,0,116,2020/02/13 15:53:37
5901020634,新廣生藥局,台北市大安區仁愛路４段３４號,(02)27071221,5,107,2020/02/13 15:53:37
5901020652,寶德藥局,台北市大安區樂利路１０５號１Ｆ,(02)27364240,0,64,2020/02/13 15:53:37
5901020661,泰佑藥局,台北市大安區安和路２段７２號１Ｆ,(02)27056841,0,24,2020/02/13 15:53:3
